港澳,#genre#
凤凰资讯,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8

凤凰资讯,http://121.24.98.232:8090/hls/70/index.m3u8
凤凰中文,http://146.56.153.245:20121/bysid/258
凤凰资讯,http://146.56.153.245:20121/bysid/257
凤凰香港,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8
凤凰中文,http://s.cdhongyuan.cn:4022/udp/239.93.0.162:2192
凤凰中文,http://s.cdhongyuan.cn:4022/udp/239.93.1.9:2192
凤凰中文,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.184:9092
凤凰资讯,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.183:9086
凤凰中文,http://www.terrykang.cn:5678/sxg.php?id=test1_4000
凤凰资讯,http://www.terrykang.cn:5678/sxg.php?id=test2_4000
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
凤凰中文,http://dms.yryyj.site:8188/udp/239.76.246.135:1234
凤凰资讯,http://dms.yryyj.site:8188/udp/239.76.246.134:1234
凤凰资讯,http://dms.yryyj.site:8188/udp/239.76.253.134:9000
凤凰中文,http://dms.yryyj.site:8188/udp/239.76.253.135:9000
凤凰中文,http://yujukoo.gicp.net:8888/udp/239.93.0.162:2192
凤凰资讯,http://yujukoo.gicp.net:8888/udp/239.93.0.118:2191
凤凰中文,http://www.yao87.com:4022/udp/239.76.246.7:1234
凤凰资讯,http://www.yao87.com:4022/udp/239.76.246.135:1234

凤凰资讯,http://giwon.ddns.net:5555/udp/239.93.0.118:2191
凤凰中文,http://giwon.ddns.net:5555/udp/239.93.0.162:2192
凤凰中文,http://php.17186.eu.org/phtv/fhzw.m3u8
凤凰香港,http://php.17186.eu.org/phtv/fhhk.m3u8

凤凰中文,http://tptvh.mobaibox.com/hwcdnbacksourceflag_223.105.252.59:80/PLTV/3/224/3221228527/1.m3u8?accountinfo=liKUscxeA3mntTkvcrPdLC0JYhRJ8GbjSgBJJtzDsTUq%2FpkEzcEgSA5jxU7E691yoTzNtIBFrb%2BIDS0e%2Fx7VbeVgZAe%2Fh9LVb30YjuWosxNwd%2FGCIxz9Y34Vf7X4oRpDbF2ObC9a54Vp367lDA52PczEcH9gPEwYj%2BtNwrWi0aU%3D%3A20241025090449%2C-1%2C112.25.63.228%2C20241025090449%2CHD-10000k-1080P-fhchinese5s%2C1734243741512_23%3A8F%3AF4%3AAE%3A73%3AC6%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000016268459_0%2CEND&GuardEncType=2&servicetype=1&unionUrl=gitv%2Flive1%2FHD-10000k-1080P-fhchinese5s%2FHD-10000k-1080P-fhchinese5s&icpid=88888888&from=5&popid=5&hms_devid=6885&prioritypopid=5
凤凰资讯,http://tptvh.mobaibox.com/hwcdnbacksourceflag_223.110.243.237:80/PLTV/3/224/3221228524/1.m3u8?accountinfo=pSB2G6bQwIdcXUpY7t8OEjuMhBR83Chj5BS0lv%2BFQDAq%2FpkEzcEgSA5jxU7E691yhVQTa1OZuMpEn5hHojelODOmFq4bYs9eiikKfwhL1xP3NdD3bB1RViFnRCn32QSUbF2ObC9a54Vp367lDA52PczEcH9gPEwYj%2BtNwrWi0aU%3D%3A20241025090452%2C-1%2C112.25.63.228%2C20241025090452%2CHD-10000k-1080P-fhzixun5s%2C1734232009108_D5%3A7B%3AF7%3A2F%3A4B%3A83%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000016268486_0%2CEND&GuardEncType=2&servicetype=1&unionUrl=gitv%2Flive1%2FHD-10000k-1080P-fhzixun5s%2FHD-10000k-1080P-fhzixun5s&icpid=88888888&from=5&popid=5&hms_devid=6448&prioritypopid=5
凤凰香港,http://tptvh.mobaibox.com/hwcdnbacksourceflag_223.110.243.237:80/PLTV/3/224/3221228530/1.m3u8?accountinfo=nVl%2FlxGDEXj8XkZipP8ISUVer4GPjw2QG0O4MRQi3g%2BEwuqkCa8s3JpukCy66ZXVAeAMYEBqNpar07yBf7G6quSAYws6gdT4%2FtVH%2Bc7R53mLahL3Oe72TRbm52ZvruhJFgCcgHZcoIABWGUx4GF9bqeo84KrB1TAVruJzkRIWcU%3D%3A20241026031902%2C4999656%2C36.156.32.23%2C20241026031902%2CHD-10000k-1080P-fhhongkong5s%2C1734275458503_D1%3A1F%3A8C%3ABC%3A76%3ACD%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000016268434_0%2CEND&GuardEncType=2&servicetype=1&unionUrl=gitv%2Flive1%2FHD-10000k-1080P-fhhongkong5s%2FHD-10000k-1080P-fhhongkong5s&icpid=88888888&from=5&popid=5&hms_devid=6448&prioritypopid=5
凤凰香港,http://tptvh.mobaibox.com/hwcdnbacksourceflag_223.110.243.237:80/PLTV/3/224/3221228530/1.m3u8?accountinfo=zZFAoaFBf0eeoBboZZ7f2LG%2Bb0LrBOSBfEzhwiBMvngq%2FpkEzcEgSA5jxU7E691yLgLXQIrVnITSKe4cR7UMbSd2y6TJst%2Bjh31VKZhtgiKIZEDSyu578hnwyF2DFwHcbF2ObC9a54Vp367lDA52PczEcH9gPEwYj%2BtNwrWi0aU%3D%3A20241025090828%2C-1%2C112.25.63.228%2C20241025090828%2CHD-10000k-1080P-fhhongkong5s%2C1734208302178_77%3A98%3AB2%3A9A%3AA8%3A67%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000016268434_0%2CEND&GuardEncType=2&servicetype=1&unionUrl=gitv%2Flive1%2FHD-10000k-1080P-fhhongkong5s%2FHD-10000k-1080P-fhhongkong5s&icpid=88888888&from=5&popid=5&hms_devid=6448&prioritypopid=5


翡翠台,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
翡翠台,http://nz171l122.bb60246.ctm.net:8889/bysid/1.m3u8
翡翠台,https://aktv.top/AKTV/live/aktv/null-16/AKTV.m3u8
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
翡翠台,http://58.250.155.2:8180/TV00000000000000000032@HHZT
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
翡翠台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct3
翡翠台,http://grandprix2023.asuscomm.com:8889/bysid/1.m3u8
翡翠台,http://1b6467f415.iok.la:9931/tsfile/live/1007_1.m3u8
翡翠台,http://r.jdshipin.com/GeWKr?id=fct406


翡翠台,http://119.125.134.216:9902/tsfile/live/1007_1.m3u8
明珠台,http://119.125.134.216:9902/tsfile/live/1009_1.m3u8
凤凰中文,http://119.125.134.216:9902/tsfile/live/1019_1.m3u8

翡翠台,http://line.greatstar.me/play/live.php?mac=10:27:BE:15:59:81&extension=ts&stream=571187
凤凰资讯,http://line.greatstar.me/play/live.php?mac=10:27:BE:15:59:81&extension=ts&stream=156407
凤凰香港,http://line.greatstar.me/play/live.php?mac=10:27:BE:15:59:81&extension=ts&stream=153402

翡翠台,http://zsntlqj.xicp.net:8895/bysid/1
明珠台,http://zsntlqj.xicp.net:8896/bysid/2
VIUTV,http://zsntlqj.xicp.net:8895/bysid/9
TVBPLUS,http://zsntlqj.xicp.net:8896/bysid/82
無綫新聞台,http://zsntlqj.xicp.net:8896/bysid/83
凤凰香港,http://zsntlqj.xicp.net:8896/bysid/85
VIUTVSIX,http://zsntlqj.xicp.net:8895/bysid/96

翡翠台4K,https://cdn.1678520.xyz/fct4k.php
翡翠台,https://cdn.1678520.xyz/fct4k.php
NOW 爆谷,http://cdn.1678520.xyz/tvbts/tvbts2.1.php?id=null-26
广东体育,http://cdn.1678520.xyz/tvbts/tvbts2.1.php?id=null-29


翡翠台,http://zw9999.cnstream.top:80/play/ubI0Nrlni6TwusjXuSxNxA5oJl8b5Icz-0MXK7POxcc/ts
明珠台,http://zw9999.cnstream.top:80/play/ubI0Nrlni6TwusjXuSxNxEzv3SLBhKEUmYG73triGDY/ts

翡翠台,http://124.244.149.194:65530/bysid/1
明珠台,http://124.244.149.194:65531/bysid/2
翡翠台,http://iptviptv.site:9694/hls/98/index.m3u8
翡翠台,http://iptviptv.site:9694/hls/99/index.m3u8
翡翠台,http://grandprix2023.asuscomm.com:8889/bysid/1.m3u8
明珠台,http://grandprix2023.asuscomm.com:8892/bysid/2.m3u8
翡翠台,http://61.238.177.254:30261/stream/channelid/1548166379
明珠台,http://61.238.177.254:30261/stream/channelid/1310877729
翡翠台,http://fm1077.serv00.net/Smart.php?id=jade_twn
J2,http://fm1077.serv00.net/Smart.php?id=j2_twn
翡翠台,P2p://147.135.39.171:9906/66430d4f000d5d62b0b20b3f5bac56f2
翡翠台,P2p://147.135.39.171:9906/66430d4f000a06ccb0b20a650b4b5d65
翡翠台,http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.fl
翡翠台,http://58.250.155.2:8180/TV00000000000000000032@HHZT
翡翠台,http://119.125.104.36:9901/tsfile/live/1006_1.m3u8
翡翠台,http://122.152.202.33/s/81a8a44f/index.m3u8?id=53
无线星河,https://www.mytvsuper.xyz/tvb/xinghe/stream.m3u8
凤凰资讯,http://lidahai.top:8100/udp/239.93.1.4:2191
凤凰资讯,http://tv.sd.cn/sichuan?id=239.93.1.4:2191
翡翠台,http://nz171l122.bb60246.ctm.net:8889/bysid/1.m3u8
翡翠台,https://pi.0472.org/tv/fct.php?auth=230918
翡翠台,https://www.zhixun.com.mp/zx.php?id=mytv8
J2,rtmp://twcdn.top/sat/hk031

香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv#http://stream.qhbtv.com/adws/sd/live.m3u8
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=8ee59707fee3ef96c922e680-167055218938751&wsIPSercert=d24f6d7c9d3646d9533d492d5209384b&wsMonitor=0
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=e5b4ef626c5980be2fbdf2e7-158332927312639

无线新闻,http://cdn9.1689.us.kg/smt1.1.php?id=inews_twn
翡翠台,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
无线新闻,http://cdn9.1689.us.kg/smt1.1.php?id=inews_twn
TVB翡翠,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn

TVBPLUS,http://138.113.24.59/libof.kesx.top/live/5658kwkojtz.flv
TVBPLUS,http://138.113.24.59/libof.kesx.top/live/22222testk.flv
TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
港台RTHK33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
港台RTHK34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8

金马影院,http://pull.kktv8.com/livekktv/128600025.flv
香港卫视,http://anren.live/HK/BSJDUFpB.m3u8
香港卫视,http://cctvtxyh5c.liveplay.myqcloud.com/cstv/xianggangweishi_2/index.m3u8 
无线新闻,https://nothingbe.serv00.net/tvb.php?id=C&type=hd

AMC电影 1台,http://50.7.137.106:8080/AMC/index.m3u8?token=test
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
TVB娱乐新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
华丽台,http://php.jdshipin.com/TVOD/iptv.php?id=huali
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
TVB星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
千禧经典,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
VIUTV,http://php.jdshipin.com:8880/TVOD/iptv.php?id=viutv
无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
无线星河,http://php.jdshipin.com/smt.php?id=Xinhe
J2,http://php.jdshipin.com:8880/smt.php?id=j2_twn
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
明珠台,http://r.jdshipin.com/GeWKr?id=mzt720
翡翠台,http://r.jdshipin.com/GeWKr?id=fct406
翡翠台,http://r.jdshipin.com/qrfbg
翡翠台,http://r.jdshipin.com/n90gt
无线新闻,http://r.jdshipin.com/CkuBd
J2,http://r.jdshipin.com/ndGgS
J2,http://r.jdshipin.com/Nr5jq
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰香港,http://r.jdshipin.com/yDoTN 
无线华丽,http://v2h.jdshipin.com/jade2/jade.stream/chunklist_w100.m3u8
无线生活,http://v2h.jdshipin.com/finance2/finance2.stream/chunklist_w102.m3u8
无线功夫,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist_w101.m3u8
无线功夫台,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
无线星河,http://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist_w106.m3u8
无线星河,http://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist_w106.m3u8
无线星河台,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
娱乐新闻台,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8

无线新闻,https://edge6a.v2h-cdn.com/enew/enew.stream/chunklist.m3u8
星卫娱乐,http://dtv21.org:8080/play/live.php?mac=00:1A:79:00:21:D9&extension=ts&stream=482618
星卫娱乐,https://dispatch.ulivetv.net/v/live/cl7csf4rd2gw.m3u8?stream_id=cl7csf4rd2gw×tamp=1685728771&rand=6huAbf9BZx&uuid=9b647b3816b2a66a&from=web&sign=9ec988218d52e58ecec8a7fe37495c16
星卫娱乐,http://23.237.10.66:16359

AMC电影 1台,http://50.7.137.106:8080/AMC/index.m3u8?token=test
天映经典,http://171.110.42.48:8181/tsfile/live/1063_1.m3u8
天映经典,http://116.11.158.91:8181/tsfile/live/1063_1.m3u8
天映经典,http://110.185.171.226:96/yximgs.php?id=111
凤凰资讯,http://120.55.49.231:3095/rtp/233.50.200.192:5140
无线星河,http://205.185.123.236:8899/tvb/xinghe/stream.m3u8
天映经典,http://abcnew.site:8880/3ca7123n11/ewfr543ds/71046
天映经典,http://line.premiumpowers.net/play/live.php?mac=00:1A:79:69:40:42&extension=ts&stream=571182
天映经典,http://162.19.247.76:22222/live/tyjd/index.m3u8
无线新闻,http://live.cooltv.top/tv/tvb.php?id=2&hq
天映经典,https://ktpremium.com:443/M919HR/5577/25982?c=大马

粤语星爷电影,http://159.75.85.63:35455/huya/11336587
粤语极清电影,https://pullhw.zhaoyangyang.cn/live/8727408.flv?auth_info=ij8Htoar3F1IBqSA4%2BNQTqkGve9JthirC1NKcXHFk8g%3D.494a4d736854505a3852436d33417a49
翡翠台,https://tvb.mytvsuper.us.kg/stream/tvb/null-33/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc


TVBPLUS,http://138.113.24.59/libof.kesx.top/live/5658kwkojtz.flv
TVBPLUS,http://138.113.24.59/libof.kesx.top/live/22222testk.flv
TVBPLUS,http://138.113.24.59/libof.kesx.top/live/5658kwkojtz.m3u8
凤凰资讯,http://udnhls.skilldns.com:80/fhzx-cn.m3u8
金马影院,http://pull.kktv8.com/livekktv/128600025.flv

香港佛陀,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8

翡翠台,https://pi.0472.org/tv/fct.php?auth=230918
翡翠台,https://pull-f5-spe.ixigua.com/yeslivetv.com/291403ea-fabd-4dc1-bdfa-f14ebe74411e/index.m3u8

凤凰资讯,https://pull-f5-spe.ixigua.com/yeslivetv.com/303328069-581799927/index.m3u8
凤凰资讯,http://13457610200.8866.org:2018/live/凤凰资讯/index.m3u8
凤凰中文,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226547/1.m3u
TVB星河,https://edge6a.v2h-cdn.com/xinghe/xinghe.stream/chunklist.m3u8
亚洲卫视,http://play-hsbj.vzan.com/slowlive/821481626725612417/live.m3u8
翡翠台,http://61.238.177.254:30261/stream/channelid/1548166379
翡翠台,http://119.77.96.184:1935/chn21/chn21/playlist.m3u8
翡翠台,https://cloudfront41.lexanetwork.com:1344/relay01/livestream002.sdp/playlist.m3u8
翡翠台,http://162.244.81.145:3333/live/telebostonrtb/playlist.m3u8
翡翠台,http://antvlive.ab5c6921.cdnviet.com/antv/chunklist.m3u8
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
环球电视,http://live.cgtn.com/500/prog_index.m3u8

港台RTHK33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
港台RTHK34HD,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
有线新闻,http://61.10.2.141/live_freedirect/hd110_h.live/playlist.m3u8

翡翠台,http://119.125.134.216:9902/tsfile/live/1007_1.m3u8
明珠台,http://119.125.134.216:9902/tsfile/live/1009_1.m3u8
凤凰中文,http://119.125.134.216:9902/tsfile/live/1019_1.m3u8

NOW 星影,http://115.171.57.64:4000/udp/225.1.8.254:4120
NOW 星影,https://mainserver.567852.xyz/seseyu0545/seseyu0545/35
NOW 星影,http://60.208.140.180:5544/NOW%E6%98%9F%E5%BD%B1/%E9%A6%99%E8%95%89%E5%93%A5%E4%B8%93%E7%94%A8-%E6%98%93%E5%8F%91TV.live.flv
NOW 爆谷,http://60.208.140.180:5544/NOW%E7%88%86%E8%B0%B7/%E9%A6%99%E8%95%89%E5%93%A5%E4%B8%93%E7%94%A8-%E6%98%93%E5%8F%91TV.live.flv
HOY77,http://60.208.140.180:5544/HOY77/%E9%A6%99%E8%95%89%E5%93%A5%E4%B8%93%E7%94%A8-%E6%98%93%E5%8F%91TV.live.flv
HOY78,http://60.208.140.180:5544/hoy78/%E9%A6%99%E8%95%89%E5%93%A5%E4%B8%93%E7%94%A8-%E6%98%93%E5%8F%91TV.live.flv
TVB-Plus,http://138.113.24.59/libof.kesx.top/live/5658kwkojtz.flv
TVB-Plus,http://138.113.24.59/libof.kesx.top/live/22222testk.flv
TVB-Plus,http://138.113.24.59/libof.kesx.top/live/5658kwkojtz.m3u8
TVB-Plus,https://play.kankanlive.com/live/263e1346ae81458d997fd04bfba2e1e7.flv
TVB-Plus,http://14.221.164.125:8086/0.ts
TVB-Plus,http://ha.jmied.com/aa/aa.m3u8?auth_key=1661958232-0-0-114df08fce17ecb21f6bf42de85e7600
TVB星河台,https://edge6a.v2h-cdn.com/xinghe/xinghe.stream/chunklist.m3u8
无线娱乐新闻台,https://edge6a.v2h-cdn.com/enew/enew.stream/chunklist.m3u8
TVB J1,https://bcovlive-a.akamaihd.net/e360e3f9895c4fae99b133ec8dc20f01/us-west-2/5324042807001/4a3bca5b047b4564b18bb12dfa26ba62/playlist_ssaiM.m3u8

凤凰资讯,http://ax.micaesoft.com/YMitv/YMITV_CN_ifengNEW.m3u8

凤凰资讯,http://udnhls.skilldns.com:80/fhzx-cn.m3u8
凤凰资讯,http://117.27.190.42:9998/tsfile/live/23279_1.m3u8
香港佛陀,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8

翡翠台,http://123.150.5.131:9000/tvb翡翠/香蕉哥专用-易發TV.live.ts
翡翠台,http://120.211.93.113:8089/tvb翡翠2/香蕉哥专用-易發TV.live.flv
凤凰香港,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8

耀才财经台HD,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
香港佛陀,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8

澳视资讯,http://61.244.22.5/ch5/info_ch5.live/index.m3u8
澳门资讯,http://61.244.22.4/ch5/info_ch5.live/chunklist_w1046558591.m3u8
澳视澳门,http://61.244.22.5/ch1/ch1.live/index.m3u8
澳视澳门,http://61.244.22.5/ch1/ch1.live/playelist.m3u8
澳门Macau,http://61.244.22.5/ch3/ch3.live/index.m3u8
澳门Macau,http://61.244.22.4/ch3/ch3.live/index.m3u8
澳门Macau,http://61.244.22.4/ch3/ch3.live/chunklist_w1228316132.m3u8
澳门Macau,http://61.244.22.4/ch3/ch3.live/playelist.m3u8
澳视葡文,http://61.244.22.5/ch2/ch2.live/index.m3u8
澳视葡文,http://61.244.22.4/ch2/ch2.live/chunklist_w1632175875.m3u8
澳视葡文,http://61.244.22.4/ch2/ch2.live/playelist.m3u8
澳视综艺,http://61.244.22.5/ch6/hd_ch6.live/index.m3u8
澳视体育,http://61.244.22.5/ch4/sport_ch4.live/index.m3u8
澳门综艺,http://61.244.22.4/ch6/_definst_/hd_ch6.live/playlist.m3u8
澳视资讯,http://live4.tdm.com.mo/ch5/_definst_/info_ch5.live/playlist.m3u8
澳视澳门,http://live4.tdm.com.mo/ch1/_definst_/ch1.live/playlist.m3u8
澳视体育,http://live4.tdm.com.mo/ch4/_definst_/sport_ch4.live/playlist.m3u8
澳門蓮花,https://tv.iill.top/mo/lhws
澳門Macau,https://live5.tdm.com.mo/ch3/ch3.live/playlist.m3u8
澳門葡文,https://live5.tdm.com.mo/ch2/ch2.live/playlist.m3u8
奧視澳門,https://live5.tdm.com.mo/ch1/ch1.live/playlist.m3u8
澳門資訊,https://live5.tdm.com.mo/ch5/info_ch5.live/playlist.m3u8
澳門體育,https://live5.tdm.com.mo/ch4/sport_ch4.live/playlist.m3u8




湾湾211,#genre#
民视,http://211.72.65.236:8504/.m3u8
华视新闻,http://211.72.65.236:8503/.m3u8
八大第一,http://211.72.65.236:8519/.m3u8
八大综合,http://211.72.65.236:8520/.m3u8
三立台湾,http://211.72.65.236:8521/.m3u8
三立都会,http://211.72.65.236:8522/.m3u8
三立新闻,http://211.72.65.236:8543/.m3u8
东森综合,http://211.72.65.236:8524/.m3u8
东森超视,http://211.72.65.236:8525/.m3u8
中天综合,http://211.72.65.236:8526/.m3u8
中天娱乐,http://211.72.65.236:8527/.m3u8
东森戏剧,http://211.72.65.236:8530/.m3u8
TVBS欢乐,http://211.72.65.236:8532/.m3u8
年代新闻,http://211.72.65.236:8539/.m3u8
民视新闻,http://211.72.65.236:8542/.m3u8
寰宇新闻,http://211.72.65.236:8547/.m3u8
龙华戏剧,http://211.72.65.236:8549/.m3u8
ELEVEN1,http://211.72.65.236:8566/.m3u8
ELEVEN2,http://211.72.65.236:8567/.m3u8
TVBS新闻,http://211.72.65.236:8574/.m3u8
凤凰卫视,http://211.72.65.236:8576/.m3u8
凤凰中文,http://211.72.65.236:8577/.m3u8
纬来体育,http://211.72.65.236:8585/.m3u8
中天新闻,http://211.72.65.236:8541/.m3u8
八大戏剧,http://211.72.65.236:8531/.m3u8
寰宇新闻,http://211.72.65.236:8547/.m3u8
TVBS欢乐,http://211.72.65.236:8532/.m3u8
中天新闻,http://211.72.65.236:8541/.m3u8
年代新闻,http://211.72.65.236:8539/.m3u8
纬来综合,http://211.72.65.236:8518/.m3u8
纬来电影,http://211.72.65.236:8579/.m3u8
东森超视,http://211.72.65.236:8525/.m3u8
东森新闻,http://211.72.65.236:8540/.m3u8
TVBS新闻,http://211.72.65.236:8574/.m3u8
TVBS欢乐,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8532/.m3u8
纬来体育,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8585/.m3u8
