🐉联通专线「多线路」,#genre#
CCTV12,http://218.241.192.50:8808/rtp/239.3.1.64:8124
CCTV13,http://218.241.192.50:8808/rtp/239.3.1.124:8128
CCTV14,http://218.241.192.50:8808/rtp/239.3.1.65:8132
CCTV15,http://218.241.192.50:8808/rtp/239.3.1.153:8136
CCTV16,http://218.241.192.50:8808/rtp/239.3.1.183:8001
CCTV16,http://218.241.192.50:8808/rtp/239.3.1.184:8001
CCTV17,http://218.241.192.50:8808/rtp/239.3.1.151:8144

CCTV1,http://39.77.3.5:8989/udp/239.253.254.77:8000
CCTV2,http://39.77.3.5:8989/udp/239.253.254.232:8000
CCTV3,http://39.77.3.5:8989/udp/239.253.254.191:8000
CCTV4,http://39.77.3.5:8989/udp/239.253.254.111:8000
CCTV4,http://39.77.3.5:8989/udp/239.253.254.186:8000
CCTV4,http://39.77.3.5:8989/udp/239.253.254.187:8000
CCTV5,http://39.77.3.5:8989/udp/239.253.254.192:8000
CCTV5+,http://39.77.3.5:8989/udp/239.253.254.80:8000
CCTV6,http://39.77.3.5:8989/udp/239.253.254.193:8000
CCTV7,http://39.77.3.5:8989/udp/239.253.254.233:8000
CCTV8,http://39.77.3.5:8989/udp/239.253.254.194:8000
CCTV9,http://39.77.3.5:8989/udp/239.253.254.79:8000
CCTV10,http://39.77.3.5:8989/udp/239.253.254.234:8000
CCTV11,http://39.77.3.5:8989/udp/239.253.254.169:8000
CCTV12,http://39.77.3.5:8989/udp/239.253.254.235:8000
CCTV13,http://39.77.3.5:8989/udp/239.253.254.175:8000
CCTV14,http://39.77.3.5:8989/udp/239.253.254.236:8000
CCTV15,http://39.77.3.5:8989/udp/239.253.254.170:8000
CCTV17,http://39.77.3.5:8989/udp/239.253.254.168:8000

CCTV1,http://webmail.axxe.top:4022/rtp/239.3.1.129:8008
CCTV2,http://webmail.axxe.top:4022/rtp/239.3.1.60:8084
CCTV3,http://webmail.axxe.top:4022/rtp/239.3.1.172:8001
CCTV4,http://webmail.axxe.top:4022/rtp/239.3.1.105:8092
CCTV5,http://webmail.axxe.top:4022/rtp/239.3.1.173:8001
CCTV5+,http://webmail.axxe.top:4022/rtp/239.3.1.130:8004
CCTV6,http://webmail.axxe.top:4022/rtp/239.3.1.174:8001
CCTV7,http://webmail.axxe.top:4022/rtp/239.3.1.61:8104
CCTV8,http://webmail.axxe.top:4022/rtp/239.3.1.175:8001
CCTV9,http://webmail.axxe.top:4022/rtp/239.3.1.62:8112
CCTV10,http://webmail.axxe.top:4022/rtp/239.3.1.63:8116
CCTV11,http://webmail.axxe.top:4022/rtp/239.3.1.152:8120
CCTV12,http://webmail.axxe.top:4022/rtp/239.3.1.64:8124
CCTV13,http://webmail.axxe.top:4022/rtp/239.3.1.124:8128
CCTV14,http://webmail.axxe.top:4022/rtp/239.3.1.65:8132
CCTV15,http://webmail.axxe.top:4022/rtp/239.3.1.153:8136
CCTV16,http://webmail.axxe.top:4022/rtp/239.3.1.183:8001
CCTV16,http://webmail.axxe.top:4022/rtp/239.3.1.184:8001
CCTV17,http://webmail.axxe.top:4022/rtp/239.3.1.151:8144


北京卫视,http://60.27.20.217:4022/rtp/225.1.1.113:5002
湖南卫视,http://60.27.20.217:4022/rtp/225.1.1.114:5002
江苏卫视,http://60.27.20.217:4022/rtp/225.1.1.126:5002
浙江卫视,http://60.27.20.217:4022/rtp/225.1.1.112:5002
东方卫视,http://60.27.20.217:4022/rtp/225.1.2.31:5002
安徽卫视,http://60.27.20.217:4022/rtp/225.1.1.127:5002
辽宁卫视,http://60.27.20.217:4022/rtp/225.1.1.154:5002
吉林卫视,http://60.27.20.217:4022/rtp/225.1.2.26:5002
黑龙江卫视,http://60.27.20.217:4022/rtp/225.1.1.115:5002
广东卫视,http://60.27.20.217:4022/rtp/225.1.1.116:5002
深圳卫视,http://60.27.20.217:4022/rtp/225.1.1.117:5002
东南卫视,http://60.27.20.217:4022/rtp/225.1.2.235:5002
四川卫视,http://60.27.20.217:4022/rtp/225.1.1.123:5002
重庆卫视,http://60.27.20.217:4022/rtp/225.1.1.155:5002
湖北卫视,http://60.27.20.217:4022/rtp/225.1.1.147:5002
山东卫视,http://60.27.20.217:4022/rtp/225.1.1.148:5002
河南卫视,http://60.27.20.217:4022/rtp/225.1.2.61:5002
河北卫视,http://60.27.20.217:4022/rtp/225.1.2.27:5002
江西卫视,http://60.27.20.217:4022/rtp/225.1.2.29:5002
贵州卫视,http://60.27.20.217:4022/rtp/225.1.2.28:5002
甘肃卫视,http://60.27.20.217:4022/rtp/225.1.1.159:5002
广西卫视,http://60.27.20.217:4022/rtp/225.1.2.81:5002
海南卫视,http://60.27.20.217:4022/rtp/225.1.2.82:5002
内蒙古卫视,http://60.27.20.217:4022/rtp/225.1.1.32:5002

北京卫视,http://223.72.19.116:4022/rtp/239.3.1.241:8000
湖南卫视,http://223.72.19.116:4022/rtp/239.3.1.132:8012
东方卫视,http://223.72.19.116:4022/rtp/239.3.1.136:8032
浙江卫视,http://223.72.19.116:4022/rtp/239.3.1.137:8036
江苏卫视,http://223.72.19.116:4022/rtp/239.3.1.135:8028
深圳卫视,http://223.72.19.116:4022/rtp/239.3.1.134:8020
广东卫视,http://223.72.19.116:4022/rtp/239.3.1.142:8048
安徽卫视,http://223.72.19.116:4022/rtp/239.3.1.211:8064
天津卫视,http://223.72.19.116:4022/rtp/239.3.1.141:1234
重庆卫视,http://223.72.19.116:4022/rtp/239.3.1.122:8160
山东卫视,http://223.72.19.116:4022/rtp/239.3.1.209:8052
黑龙江卫视,http://223.72.19.116:4022/rtp/239.3.1.133:8016
河北卫视,http://223.72.19.116:4022/rtp/239.3.1.148:8072
辽宁卫视,http://223.72.19.116:4022/rtp/239.3.1.210:8056
湖北卫视,http://223.72.19.116:4022/rtp/239.3.1.138:8044
吉林卫视,http://223.72.19.116:4022/rtp/239.3.1.240:8172
贵州卫视,http://223.72.19.116:4022/rtp/239.3.1.149:8076
东南卫视,http://223.72.19.116:4022/rtp/239.3.1.156:8148
江西卫视,http://223.72.19.116:4022/rtp/239.3.1.123:8164

北京卫视,http://218.241.192.50:8808/rtp/239.3.1.241:8000
湖南卫视,http://218.241.192.50:8808/rtp/239.3.1.132:8012
东方卫视,http://218.241.192.50:8808/rtp/239.3.1.136:8032
浙江卫视,http://218.241.192.50:8808/rtp/239.3.1.137:8036
江苏卫视,http://218.241.192.50:8808/rtp/239.3.1.135:8028
深圳卫视,http://218.241.192.50:8808/rtp/239.3.1.134:8020
广东卫视,http://218.241.192.50:8808/rtp/239.3.1.142:8048
安徽卫视,http://218.241.192.50:8808/rtp/239.3.1.211:8064
天津卫视,http://218.241.192.50:8808/rtp/239.3.1.141:1234
重庆卫视,http://218.241.192.50:8808/rtp/239.3.1.122:8160
山东卫视,http://218.241.192.50:8808/rtp/239.3.1.209:8052
黑龙江卫视,http://218.241.192.50:8808/rtp/239.3.1.133:8016
河北卫视,http://218.241.192.50:8808/rtp/239.3.1.148:8072
辽宁卫视,http://218.241.192.50:8808/rtp/239.3.1.210:8056
湖北卫视,http://218.241.192.50:8808/rtp/239.3.1.138:8044
吉林卫视,http://218.241.192.50:8808/rtp/239.3.1.240:8172
贵州卫视,http://218.241.192.50:8808/rtp/239.3.1.149:8076
东南卫视,http://218.241.192.50:8808/rtp/239.3.1.156:8148
江西卫视,http://218.241.192.50:8808/rtp/239.3.1.123:8164

北京卫视,http://39.77.3.5:8989/udp/239.253.254.85:8000
东方财经,http://39.77.3.5:8989/udp/239.253.254.94:8000
东方卫视,http://39.77.3.5:8989/udp/239.253.254.86:8000
东南卫视,http://39.77.3.5:8989/udp/239.253.254.105:8000
动漫秀场,http://39.77.3.5:8989/udp/239.253.254.115:8000
都市剧场,http://39.77.3.5:8989/udp/239.253.254.98:8000
法治天地,http://39.77.3.5:8989/udp/239.253.254.96:8000
甘肃卫视,http://39.77.3.5:8989/udp/239.253.254.74:8000
广东卫视,http://39.77.3.5:8989/udp/239.253.254.90:8000
广西卫视,http://39.77.3.5:8989/udp/239.253.254.197:8000
贵州卫视,http://39.77.3.5:8989/udp/239.253.254.113:8000
安徽卫视,http://39.77.3.5:8989/udp/239.253.254.87:8000
海南卫视,http://39.77.3.5:8989/udp/239.253.254.179:8000
河北卫视,http://39.77.3.5:8989/udp/239.253.254.112:8000
河南卫视,http://39.77.3.5:8989/udp/239.253.254.190:8000
黑龙江卫视,http://39.77.3.5:8989/udp/239.253.254.93:8000
湖北卫视,http://39.77.3.5:8989/udp/239.253.254.88:8000
湖南卫视,http://39.77.3.5:8989/udp/239.253.254.82:8000
吉林卫视,http://39.77.3.5:8989/udp/239.253.254.173:8000
江苏卫视,http://39.77.3.5:8989/udp/239.253.254.83:8000
江西卫视,http://39.77.3.5:8989/udp/239.253.254.47:8000
深圳卫视,http://39.77.3.5:8989/udp/239.253.254.91:8000
四川卫视,http://39.77.3.5:8989/udp/239.253.254.180:8000
天津卫视,http://39.77.3.5:8989/udp/239.253.254.89:8000
云南卫视,http://39.77.3.5:8989/udp/239.253.254.196:8000
浙江卫视,http://39.77.3.5:8989/udp/239.253.254.84:8000
重庆卫视,http://39.77.3.5:8989/udp/239.253.254.38:8000

北京卫视,http://webmail.axxe.top:4022/rtp/239.3.1.241:8000
东方卫视,http://webmail.axxe.top:4022/rtp/239.3.1.136:8032
浙江卫视,http://webmail.axxe.top:4022/rtp/239.3.1.137:8036
江苏卫视,http://webmail.axxe.top:4022/rtp/239.3.1.135:8028
湖南卫视,http://webmail.axxe.top:4022/rtp/239.3.1.132:8012
深圳卫视,http://webmail.axxe.top:4022/rtp/239.3.1.134:8020
广东卫视,http://webmail.axxe.top:4022/rtp/239.3.1.142:8048
安徽卫视,http://webmail.axxe.top:4022/rtp/239.3.1.211:8064
天津卫视,http://webmail.axxe.top:4022/rtp/239.3.1.141:1234
重庆卫视,http://webmail.axxe.top:4022/rtp/239.3.1.122:8160
山东卫视,http://webmail.axxe.top:4022/rtp/239.3.1.209:8052
黑龙江视,http://webmail.axxe.top:4022/rtp/239.3.1.133:8016
河北卫视,http://webmail.axxe.top:4022/rtp/239.3.1.148:8072
辽宁卫视,http://webmail.axxe.top:4022/rtp/239.3.1.210:8056
湖北卫视,http://webmail.axxe.top:4022/rtp/239.3.1.138:8044
吉林卫视,http://webmail.axxe.top:4022/rtp/239.3.1.240:8172
贵州卫视,http://webmail.axxe.top:4022/rtp/239.3.1.149:8076
东南卫视,http://webmail.axxe.top:4022/rtp/239.3.1.156:8148
江西卫视,http://webmail.axxe.top:4022/rtp/239.3.1.123:8164
