咪咕体育移动专线,#genre#
咪咕直播-5,http://gslbserv.itv.cmvideo.cn:80/3000000001000008176/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008176&livemode=1&stbId=3
咪咕直播-6,http://gslbserv.itv.cmvideo.cn:80/3000000001000008379/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008379&livemode=1&stbId=3
咪咕直播-7,http://gslbserv.itv.cmvideo.cn:80/3000000001000010129/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000010129&livemode=1&stbId=3
咪咕直播-8,http://gslbserv.itv.cmvideo.cn:80/3000000001000010948/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000010948&livemode=1&stbId=3
咪咕直播-10,http://gslbserv.itv.cmvideo.cn:80/3000000001000028638/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000028638&livemode=1&stbId=3
咪咕直播-11,http://gslbserv.itv.cmvideo.cn:80/3000000001000031494/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000031494&livemode=1&stbId=3
咪咕直播-12,http://gslbserv.itv.cmvideo.cn:80/3000000010000000097/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000000097&livemode=1&stbId=3
咪咕直播-13,http://gslbserv.itv.cmvideo.cn:80/3000000010000002019/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000002019&livemode=1&stbId=3
咪咕直播-15,http://gslbserv.itv.cmvideo.cn:80/3000000010000002809/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000002809&livemode=1&stbId=3
咪咕直播-16,http://gslbserv.itv.cmvideo.cn:80/3000000010000003915/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000003915&livemode=1&stbId=3
咪咕直播-17,http://gslbserv.itv.cmvideo.cn:80/3000000010000004193/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000004193&livemode=1&stbId=3
咪咕直播-19,http://gslbserv.itv.cmvideo.cn:80/3000000010000005837/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000005837&livemode=1&stbId=3
咪咕直播-20,http://gslbserv.itv.cmvideo.cn:80/3000000010000006077/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000006077&livemode=1&stbId=3
咪咕直播-21,http://gslbserv.itv.cmvideo.cn:80/3000000010000006658/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000006658&livemode=1&stbId=3
咪咕直播-24,http://gslbserv.itv.cmvideo.cn:80/3000000010000009788/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000009788&livemode=1&stbId=3
咪咕直播-25,http://gslbserv.itv.cmvideo.cn:80/3000000010000010833/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000010833&livemode=1&stbId=3
咪咕直播-27,http://gslbserv.itv.cmvideo.cn:80/3000000010000011297/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000011297&livemode=1&stbId=3
咪咕直播-28,http://gslbserv.itv.cmvideo.cn:80/3000000010000011518/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000011518&livemode=1&stbId=3
咪咕直播-33,http://gslbserv.itv.cmvideo.cn:80/3000000010000012558/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000012558&livemode=1&stbId=3
咪咕直播-34,http://gslbserv.itv.cmvideo.cn:80/3000000010000012616/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000012616&livemode=1&stbId=3
咪咕直播-35,http://gslbserv.itv.cmvideo.cn:80/3000000010000015470/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000015470&livemode=1&stbId=3
咪咕直播-36,http://gslbserv.itv.cmvideo.cn:80/3000000010000015560/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000015560&livemode=1&stbId=3
咪咕直播-38,http://gslbserv.itv.cmvideo.cn:80/3000000010000017678/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000017678&livemode=1&stbId=3
咪咕直播-41,http://gslbserv.itv.cmvideo.cn:80/3000000010000019839/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000019839&livemode=1&stbId=3
咪咕直播-43,http://gslbserv.itv.cmvideo.cn:80/3000000010000021904/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000021904&livemode=1&stbId=3
咪咕直播-44,http://gslbserv.itv.cmvideo.cn:80/3000000010000023434/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000023434&livemode=1&stbId=3
咪咕直播-47,http://gslbserv.itv.cmvideo.cn:80/3000000010000025380/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000025380&livemode=1&stbId=3
咪咕直播-51,http://gslbserv.itv.cmvideo.cn:80/3000000010000027691/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000027691&livemode=1&stbId=3
咪咕直播-52,http://gslbserv.itv.cmvideo.cn:80/3000000010000031669/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000031669&livemode=1&stbId=3

五大联赛,#genre#
Now体育Plus,https://sxj.livednow.us.kg/ziyong?id=now-sports-plus
Now体育英超1,https://sxj.livednow.us.kg/ziyong?id=now-sports-premier-league1
Now体育英超2,https://sxj.livednow.us.kg/ziyong?id=now-sports-premier-league2
Now体育英超3,https://sxj.livednow.us.kg/ziyong?id=now-sports-premier-league3
Now体育英超4,https://sxj.livednow.us.kg/ziyong?id=now-sports-premier-league4
Now体育英超5,https://sxj.livednow.us.kg/ziyong?id=now-sports-premier-league5
Now体育英超6,https://sxj.livednow.us.kg/ziyong?id=now-sports-premier-league6
myTV 直播足球3台,https://docker.mytvsuper.us.kg/stream/tvb/mytvsuper3/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
myTV 直播足球4台,https://docker.mytvsuper.us.kg/stream/tvb/mytvsuper4/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
myTV 直播足球5台,https://docker.mytvsuper.us.kg/stream/tvb/mytvsuper5/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
myTV 直播足球6台,https://docker.mytvsuper.us.kg/stream/tvb/mytvsuper6/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
ESPN 1 ⁴ᵏ,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/301371.m3u8
ESPN 2 ⁴ᵏ,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/301372.m3u8
ESPN 3 ⁴ᵏ,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/301373.m3u8
ESPN 4 ⁴ᵏ,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/301374.m3u8
VIASAT SPORTS 1 FHD,http://extraott.com//7795309038/1092686646/63953
VIASAT SPORTS 2 FHD,http://extraott.com//7795309038/1092686646/63951
HUB PREMIER 2 FHD,http://extraott.com//7795309038/1092686646/9060
Sky体育Premier League,https://tv.iill.top/beesport/Sky_Sports_Premier_League
Premier Sports 1,https://tv.iill.top/beesport/Premier_Sports_1
Premier Sports 2,https://tv.iill.top/beesport/Premier_Sports_2
SuperSport Premier League,https://tv.iill.top/beesport/SuperSport_Premier_League_Live_TV
SuperSport LaLiga,https://tv.iill.top/beesport/SuperSport_LaLiga_Live_TV
SuperSport Football,https://tv.iill.top/beesport/SuperSport_Football_Live_TV
UK: Sky体育Premier League FHD 1,http://rhsbjv7k.tvclub.xyz/iptv/FAGK589PV9BQAG/9334/index.m3u8
UK: Sky体育Premier League FHD 2,http://rhsbjv7k.tvclub.xyz/iptv/FAGK589PV9BQAG/7335/index.m3u8
UK: Sky体育Main Event 4K,http://doubleclicktv.live/70376812/52663544/620667
Now体育Plus,https://sxj.btjson.us.kg/ziyong?id=now-sports-plus
Now体育英超1,https://sxj.btjson.us.kg/ziyong?id=now-sports-premier-league1
Now体育英超2,https://sxj.btjson.us.kg/ziyong?id=now-sports-premier-league2
Now体育英超3,https://sxj.btjson.us.kg/ziyong?id=now-sports-premier-league3
Now体育英超4,https://sxj.btjson.us.kg/ziyong?id=now-sports-premier-league4
Now体育英超5,https://sxj.btjson.us.kg/ziyong?id=now-sports-premier-league5
Now体育英超6,https://sxj.btjson.us.kg/ziyong?id=now-sports-premier-league6
Now体育4K,http://apptv.xyz:80/alia4remz/rrynDeBGS/86258
Hub Premier 2 4K,http://apptv.xyz:80/alia4remz/rrynDeBGS/86270
Eleven Sports 1 ⁴ᴷ,http://apptv.xyz:80/alia4remz/rrynDeBGS/86266
Astro SuperSport 4K,http://apptv.xyz:80/alia4remz/rrynDeBGS/86257
BeIN Sport Arabic 4K,http://apptv.xyz:80/alia4remz/rrynDeBGS/86259
Astro超级体育4K,http://apptv.xyz:80/alia4remz/rrynDeBGS/86257
贝因体育阿拉伯4K,http://apptv.xyz:80/alia4remz/rrynDeBGS/86259
Hub英超2 4K,http://apptv.xyz:80/alia4remz/rrynDeBGS/86270
SPORT: RMC Sport 1 ⁴ᵏ,http://apptv.xyz:80/alia4remz/rrynDeBGS/86265
Astro SuperSport ⁴ᵏ,http://apptv.xyz:80/alia4remz/rrynDeBGS/86257
Sky Sport Bundesliga ⁴ᵏ,http://apptv.xyz:80/alia4remz/rrynDeBGS/86292
Now HK Sports 4K 1 ⁴ᵏ,http://apptv.xyz:80/alia4remz/rrynDeBGS/86258
Now HK Sports 4K 2 ⁴ᵏ,http://apptv.xyz:80/alia4remz/rrynDeBGS/86268
Now HK Sports 4K 3 ⁴ᵏ,http://apptv.xyz:80/alia4remz/rrynDeBGS/86269
Hub Premier 2 ⁴ᵏ,http://apptv.xyz:80/alia4remz/rrynDeBGS/86270

Eleven体育1 4K,https://stream1.freetv.fun/eleven-sports-1-4k-1.ctv
Eleven Sports 1 4K,https://stream1.freetv.fun/eleven-sports-1-4k-1.ctv

欧洲体育2,http://a16e00c6.ucomist.net/iptv/UPKY3Y8BF6KNX8/12048/index.m3u8
皇马RMTV,https://rmtv.akamaized.net/hls/live/2043153/rmtv-es-web/bitrate_3.m3u8
英国Sky体育主要事件4K,http://doubleclicktv.live/70376812/52663544/620667

Now体育1,https://py.doube.eu.org/tv/xingshijie/getUrl/now-sports-1/index.m3u8
Now体育2,https://py.doube.eu.org/tv/xingshijie/getUrl/now-sports-2/index.m3u8
Now体育3,https://py.doube.eu.org/tv/xingshijie/getUrl/now-sports-3/index.m3u8
Now体育4,https://py.doube.eu.org/tv/xingshijie/getUrl/now-sports-4/index.m3u8
Now体育5,https://py.doube.eu.org/tv/xingshijie/getUrl/now-sports-5/index.m3u8
Now体育6,https://py.doube.eu.org/tv/xingshijie/getUrl/now-sports-6/index.m3u8
Now体育7,https://py.doube.eu.org/tv/xingshijie/getUrl/now-sports-7/index.m3u8
体育直播01,http://129.226.149.79:4785/html/freetest0321.php?access_token=test1208faku&id=Slive01
体育直播02,http://129.226.149.79:4785/html/freetest0321.php?access_token=test1208faku&id=Slive02
体育直播03,http://129.226.149.79:4785/html/freetest0321.php?access_token=test1208faku&id=Slive03
体育直播04,http://129.226.149.79:4785/html/freetest0321.php?access_token=test1208faku&id=Slive04
体育直播05,http://129.226.149.79:4785/html/freetest0321.php?access_token=test1208faku&id=Slive05
体育直播06,http://129.226.149.79:4785/html/freetest0321.php?access_token=test1208faku&id=Slive06
体育直播07,http://129.226.149.79:4785/html/freetest0321.php?access_token=test1208faku&id=Slive07
体育直播08,http://129.226.149.79:4785/html/freetest0321.php?access_token=test1208faku&id=Slive08
体育直播09,http://129.226.149.79:4785/html/freetest0321.php?access_token=test1208faku&id=Slive09
体育直播10,http://129.226.149.79:4785/html/freetest0321.php?access_token=test1208faku&id=Slive10

海外体育,#genre#
J Sports 1,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs18&isp=10&bind=0&uin=159413&playseek=0
J Sports 2,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs19&isp=10&bind=0&uin=159413&playseek=0
J Sports 3,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs21&isp=10&bind=0&uin=159413&playseek=0
J Sports 4,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs22&isp=10&bind=0&uin=159413&playseek=0
TNT Sport 1,https://tv.iill.top/beesport/TNT_Sports_1
TNT Sport 2,https://tv.iill.top/beesport/TNT_Sports_2
TNT Sport 3,https://tv.iill.top/beesport/TNT_Sports_3
TNT Sport 4,https://tv.iill.top/beesport/TNT_Sports_4
Sky体育Football,https://tv.iill.top/beesport/Sky_Sports_Football_Live_TV
 Sky体育Main Event,https://tv.iill.top/beesport/Sky_Sports_Main_Event

 Sky体育Action,https://tv.iill.top/beesport/Sky_Sports_Action_Live_TV
 Sky体育Mix,https://tv.iill.top/beesport/Sky_Sports_Mix_Live_TV
 Sky体育Arena,https://tv.iill.top/beesport/Sky_Sports_Arena_Live_TV
 Sky体育News,https://tv.iill.top/beesport/Sky_Sports_News_Live_TV
 Sky体育Cricket,https://tv.iill.top/beesport/Sky_Sports_Cricket_Live_TV
 Sky体育Tennis,https://tv.iill.top/beesport/Sky_Sports_Tennis
 Sky体育F1,https://tv.iill.top/beesport/Sky_Sports_F1_Live_TV
 Sky体育Golf,https://tv.iill.top/beesport/Sky_Sports_Golf_Live_TV
 Sky体育Racing,https://tv.iill.top/beesport/Sky_Sports_Racing_Live_TV
 Tennis Channel,https://tv.iill.top/beesport/Tennis_Channel_Live_TV
 LaLiga TV,https://tv.iill.top/beesport/La_Liga_TV_Live_TV
 HBO 1,https://tv.iill.top/beesport/HBO_Live_TV
 HBO 2,https://tv.iill.top/beesport/HBO_2_Live_TV
 Discovery Channel,https://tv.iill.top/beesport/Discovery_Channel_Live_TV
 Discovery Life,https://tv.iill.top/beesport/Discovery_Life_Live_TV
 Cinemax West,https://tv.iill.top/beesport/Cinemax_West_Live_TV
 Great Movies,https://tv.iill.top/beesport/UK_Great_Movies_Live_TV
 Sky Cinema Comedy,https://tv.iill.top/beesport/UK_Sky_Cinema_Comedy_Live_TV
 Sky Cinema Family,https://tv.iill.top/beesport/UK_Sky_Cinema_Family_Live_TV
 Cartoon Network,https://tv.iill.top/beesport/UK_Cartoon_Network_Live_TV
 Virgin 1,https://tv.iill.top/beesport/UK_Virgin_1
 Virgin 2,https://tv.iill.top/beesport/UK_Virgin_2
 Virgin 3,https://tv.iill.top/beesport/UK_Virgin_3
 DAZN,https://tv.iill.top/beesport/DAZN_Live_TV
 Bein Sports USA,https://tv.iill.top/beesport/Bein_Sports_USA_Live_TV
 Bein Sports English 2,https://tv.iill.top/beesport/Bein_Sports_English_2_Live_TV
 
 SuperSport Action,https://tv.iill.top/beesport/SuperSport_Action_Live_TV
 SuperSport Blitz,https://tv.iill.top/beesport/SuperSport_Blitz_Live_TV
 SuperSport Cricket,https://tv.iill.top/beesport/SuperSport_Cricket_Live_TV

 SuperSport Golf,https://tv.iill.top/beesport/SuperSport_Golf_Live_TV
 SuperSport Rugby,https://tv.iill.top/beesport/SuperSport_Rugby_Live_TV
 SuperSport Tennis,https://tv.iill.top/beesport/SuperSport_Tennis_Live_TV
 Variety 1,https://tv.iill.top/beesport/Variety_1_Live_TV
 Variety 2,https://tv.iill.top/beesport/Variety_2_Live_TV
 Variety 3,https://tv.iill.top/beesport/Variety_3_Live_TV
 Variety 4,https://tv.iill.top/beesport/Variety_4_Live_TV
 Eurosport 1,https://tv.iill.top/beesport/Eurosport_1_Live_TV
 Eurosport 2,https://tv.iill.top/beesport/Eurosport_2_Live_TV

 Golf Channel,https://tv.iill.top/beesport/Golf_Channel_Live_TV
 MLB Network,https://tv.iill.top/beesport/MLB_Network_Live_TV
 NBA TV,https://tv.iill.top/beesport/NBA_TV_Live_TV
 NFL Network,https://tv.iill.top/beesport/NFL_Network_Live_TV
 NFL Redzone,https://tv.iill.top/beesport/NFL_REDZONE_Live_TV
 NHL Network,https://tv.iill.top/beesport/NHL_Network_Live_TV
 WWE,https://tv.iill.top/beesport/WWE_Live_TV
 Willow Cricket,https://tv.iill.top/beesport/Willow_Cricket_Live_TV
 Willow Extra,https://tv.iill.top/beesport/Willow_Extra_Live_TV
 World Fishing Network,https://tv.iill.top/beesport/World_Fishing_Network_Live_TV
 Fight Network,https://tv.iill.top/beesport/Fight_Network_Live_TV
 ESPN,https://tv.iill.top/beesport/ESPN_Live_TV
 ESPN 2,https://tv.iill.top/beesport/ESPN_2_Live_TV
 ESPN News,https://tv.iill.top/beesport/ESPN_News_Live_TV
 ESPN U,https://tv.iill.top/beesport/ESPN_U_Live_TV
 ITV 1,https://tv.iill.top/beesport/ITV_1
 ITV 2,https://tv.iill.top/beesport/ITV_2
 ITV 3,https://tv.iill.top/beesport/ITV_3
 ITV 4,https://tv.iill.top/beesport/ITV_4
 MUTV,https://tv.iill.top/beesport/MUTV_Live_TV
 LFC TV,https://tv.iill.top/beesport/LFC_TV_Live_TV
 ACC Network,https://tv.iill.top/beesport/ACC_Network_Live_TV
 CBS Sports Network,https://tv.iill.top/beesport/CBS_Sports_Network_Live_TV
 CNBC,https://tv.iill.top/beesport/CNBC_Live_TV
 Fox Sports 1,https://tv.iill.top/beesport/Fox_Sports_1_Live_TV
 Fox Sports 2,https://tv.iill.top/beesport/Fox_Sports_2_Live_TV
 FOX News,https://tv.iill.top/beesport/FOX_NEWS_Live_TV
MAT体育2,http://a16e00c6.ucomist.net/iptv/UPKY3Y8BF6KNX8/522/index.m3u8
福克斯体育,http://a16e00c6.ucomist.net/iptv/UPKY3Y8BF6KNX8/7323/index.m3u8
格极限斗,http://a16e00c6.ucomist.net/iptv/UPKY3Y8BF6KNX8/144/index.m3u8
BT体育1,http://a16e00c6.ucomist.net/iptv/UPKY3Y8BF6KNX8/2505/index.m3u8
拜仁体育,http://a16e00c6.ucomist.net/iptv/UPKY3Y8BF6KNX8/6097/index.m3u8
欧洲体育1,http://a16e00c6.ucomist.net/iptv/UPKY3Y8BF6KNX8/141/index.m3u8
欧洲体育2,http://a16e00c6.ucomist.net/iptv/UPKY3Y8BF6KNX8/12048/index.m3u8
极限运动,http://a16e00c6.ucomist.net/iptv/UPKY3Y8BF6KNX8/144/index.m3u8
俄罗斯体育,http://a16e00c6.ucomist.net/iptv/UPKY3Y8BF6KNX8/530/index.m3u8
拜仁体育,http://a16e00c6.ucomist.net/iptv/UPKY3Y8BF6KNX8/6097/index.m3u8
贝因体育 ,http://a16e00c6.ucomist.net/iptv/UPKY3Y8BF6KNX8/2499/index.m3u8
贝因体育 3,http://a16e00c6.ucomist.net/iptv/UPKY3Y8BF6KNX8/6124/index.m3u8
贝因体育 3,http://a16e00c6.ucomist.net/iptv/UPKY3Y8BF6KNX8/2501/index.m3u8
UEFA English,p3p://108.181.32.169:43269/66683f3d00034a1ce13669356af172b6
UEFA Contonese,p3p://108.181.32.169:43269/66683e4c000c7fd6e132be2775dc56b2
UEFA Contonese688,p3p://108.181.32.169:43269/666bf7e20007ad58efbfaed845992b0e
CCTV-5 ,p3p://108.181.32.169:43269/64260cb0000afd53edfb140f10811127
CCTV-5+,p3p://108.181.32.169:43269/64260cbc00081417edfb42307c984dd4
EPL Now体育英超4keng,p3p://108.181.32.169:43269/64d74cf7000556f0223ed6366e5f689a
EPL Now体育英超1eng,p3p://108.181.32.169:43269/64d74cb1000cc276223dc6ac654a2299
EPL Now体育英超4k1粤语,p3p://108.181.32.169:43269/64d74ca40007202e223d927267473868
EPL Now体育英超 粤语,p3p://108.181.32.169:43269/64d74c1600083555223b68096e79387e
Now体育630,p3p://108.181.32.169:43269/64b8f92b000089e02be334b114c32320
Now plus,p3p://108.181.32.169:43269/64b8f962000df4a32be40ef90d9f4afd
NOW 体育台,p3p://108.181.32.169:43269/6410211d00048968985b4de16d6e5b6a
Now体育1 Sports 1,p3p://108.181.32.169:43269/643361f20007b9a9220fabfc3001244e
Now体育2 Sports 2,p3p://108.181.32.169:43269/643362090006b031221005903b883d07
Now体育3 Sports 3,p3p://108.181.32.169:43269/6433621d000d9c3522105573223958e1
Now体育4 Sports 4,p3p://108.181.32.169:43269/6437999f00025f983289265f38ef3722
Now体育5 Sports 5,p3p://108.181.32.169:43269/643799aa000e7bac3289547135e05a80
Now体育6 Sports 6,p3p://108.181.32.169:43269/643799bb00044f193289943e2e5f6ac1
Now体育7 Sports 7,p3p://108.181.32.169:43269/643799ca000a29a43289d0542d57262c
ELEVEN 体育1,p3p://108.181.32.169:43269/6425227b000100c6ea6832842d41783a
ELEVEN 体育2,p3p://108.181.32.169:43269/64252292000127feea688c6630d312e7
ELTA体育1台,p3p://108.181.32.169:43269/6425229e00024ab4ea68bb9154ab1928
ELTA体育2台,p3p://108.181.32.169:43269/642522b0000a6c14ea6903f615622aab
ELTA体育3台,p3p://108.181.32.169:43269/642522bd000ad1bbea6936d803e32fc0
ELTA体育3台国语,p3p://108.181.32.169:43269/6433e3220006392724084f1711880c01
博斯運動一台 ,p3p://108.181.32.169:43269/642d000d000525a509217d5a62e868e8
博斯魅力,p3p://108.181.32.169:43269/642d395d0004e9950a015dce389f4c91
博斯網球台 ,p3p://108.181.32.169:43269/642d0029000bd7e70921ec71212f5735
博斯運動二台 ,p3p://108.181.32.169:43269/642d0087000484c5092359c47ee4201a
博斯高球台 ,p3p://108.181.32.169:43269/642d009f000f1f000923ba3b26b667e4
博斯高球二台 ,p3p://108.181.32.169:43269/642d00ae000e846a0923f4ac45c06f09
博斯無限台 ,p3p://108.181.32.169:43269/642d00bf00041ae7092434690ae526c7
ASSP1(a),p3p://108.181.32.169:43269/6412459f000acfeba0b9eb4448574dee
ASSP1(b),p3p://108.181.32.169:43269/641245bc0008335da0ba5be15de04db6
ASSP2(a),p3p://108.181.32.169:43269/641245e30005d242a0baf39e4a3f4a03
ASSP2(b),p3p://108.181.32.169:43269/641245fd000a6c90a0bb5a5b3f082922
ASSP3(a),p3p://108.181.32.169:43269/6412462100081e2fa0bbe66467ee6505
ASSP3(b),p3p://108.181.32.169:43269/6412463b00023f3ca0bc4a7430ab0660
ASSP4(a),p3p://108.181.32.169:43269/64124658000ad2c0a0bcbdee020d5132
ASSP4(b),p3p://108.181.32.169:43269/641246e00009e30fa0bed0f161d56da7
ASSP5(a),p3p://108.181.32.169:43269/641246fc0003baafa0bf3cbe4c8736d8
ASSP5(b),p3p://108.181.32.169:43269/6412471a00065484a0bfb29809e370b5
Spotv,p3p://108.181.32.169:43269/6481dc3c00077243549b8cd35b4f0f7f
Bola Arena1,p3p://108.181.32.169:43269/641245040004d52aa0b78c446be55863
Bola Arena2,p3p://108.181.32.169:43269/64124524000e86a3a0b80bbf421014d4
Astro Arena,p3p://108.181.32.169:43269/6412454a0000fbb4a0b89cb81723411e
Astro Arena 1,p3p://108.181.32.169:43269/64124580000df2d5a0b972fa5e5d3940
Astro Arena 2,p3p://108.181.32.169:43269/64124568000c643aa0b914d41041515b
BeIN Sports,p3p://108.181.32.169:43269/641381d2000619c4a58d115426907b6d
BeIN Max Sports,p3p://108.181.32.169:43269/641381e300044201a58d534366ce199d
WWE Network,p3p://108.181.32.169:43269/641381f6000cd704a58d9fae064d2ede
Golf Channel SKY SPORT,p3p://108.181.32.169:43269/6413821c000b77b6a58e33c27f83093b
TSN 1,p3p://108.181.32.169:43269/643119270003db6719238a985be41867
TSN 2,p3p://108.181.32.169:43269/64311978000dc8961924c98b13117b70
TSN 3,p3p://108.181.32.169:43269/64311ac1000558571929cc872ad35eec
TSN 4,p3p://108.181.32.169:43269/64311b14000f390a192b13475a166e90
TSN 5,p3p://108.181.32.169:43269/64311b67000c0613192c56ad05b518b5
ESPN 1,p3p://108.181.32.169:43269/64311ba20007409b192d3bec4f60079a
ESPN 2,p3p://108.181.32.169:43269/64311d29000d2a3b193334cb71ba3db4
ESPN 3,p3p://108.181.32.169:43269/64311e68000a2a1d1938121f51b1501b
NBA TV,p3p://108.181.32.169:43269/64311e75000090631938427279742fef
NBA TV(b),p3p://108.181.32.169:43269/64311e81000176281938718d4b003c1b
beIN Sports 1,p3p://108.181.32.169:43269/64311e93000ba7aa1938ba7e1e4b3642
beIN Sports 2,p3p://108.181.32.169:43269/64311ea0000526211938eb9c63bc100c
beIN Sports 3,p3p://108.181.32.169:43269/64311eac00023ce5193919bd41e13e59
NBCgolf,p3p://108.181.32.169:43269/64311ec30002641e1939739f2a9f6e82
Golf Channel USA,p3p://108.181.32.169:43269/64311ed10003b7461939aaa6737c19fe
SuperSports Golf,p3p://108.181.32.169:43269/64311edf000047af1939e0754ac733f5
WWE Network,p3p://108.181.32.169:43269/64311eec0001de06193a13a553747072
WWE HD backup,p3p://108.181.32.169:43269/642fa8b7000065051384543f2842233e
Fight Sports T,p3p://108.181.32.169:43269/64311efc000d6103193a55176c7f5df0
UFC Fight Pass U.K,p3p://108.181.32.169:43269/64311f0a0003c10b193a89517a060079
MUTV,p3p://108.181.32.169:43269/64311f27000ef2df193afd76183366ae
MUTV Backup,p3p://108.181.32.169:43269/643125570009d890195327a22a5d7ee1
